linea,tipo,razon,texto_original
28940,eliminacion_catalan,"caracteres_problematicos: {']', '['}",S'han proposat moltes solucions per millorar la protecció [5-13].
76623,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Un veritable substitut de la fusta que crea el “segon bosc”.
93293,eliminacion_catalan,caracteres_problematicos: {'“'},"“Per Schuler i els nostres clients, la digitalització no és una visió, sinó una realitat."
145646,eliminacion_catalan,"caracteres_problematicos: {']', '['}",Quin tema o missatge central uneix els diversos records? [1]
226129,eliminacion_catalan,caracteres_problematicos: {'“'},"“A diferència de fa uns anys, quan deien que aquesta feina era per a homes, ara hi ha dones que treb..."
241422,eliminacion_catalan,caracteres_problematicos: {'%'},"I quan sentim que els operadors del 95% no obtenen beneficis consistents, no vol dir que siguin perd..."
279170,eliminacion_catalan,caracteres_problematicos: {'–'},"Sense acord a la vista, el termini de 4-6 setmanes es tancarà al juny – i es podria desfermar l'infe..."
406752,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Tot i això, té previst “continuar escrivint” i donar compte de qualsevol abús o violació contra els ..."
449083,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}","«A Estònia, no tenim Gran Germà; tenim Petit Germà», em va dir un vilatà."
459800,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Alexa “aprèn” de noves interaccions, millorant gradualment amb el temps."
481404,eliminacion_catalan,caracteres_problematicos: {'“'},"“Així que has de mirar quina és la millor opció per al teu futur, on pots mostrar el teu talent."
531888,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Gràcies”, va dir Brunetti, sense escriure aquests noms."
555965,eliminacion_catalan,caracteres_problematicos: {'%'},"Bolívia posseeix el 50% dels jaciments mundials de liti, però extreure'ls pot ser un repte."
734242,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Per al científic, “causa” i “risc” tenen significats precisos i científics."
786102,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Crec que l'atac de ciberseguretat més horrorós tindrà nom propi i crec que implicarà una mica més t...
814307,eliminacion_catalan,caracteres_problematicos: {'·'},"Cap als 55 anys, Fish va començar a experimentar al·lucinacions i deliris, creient que Déu li havia ..."
876338,eliminacion_catalan,caracteres_problematicos: {'•'},• Les empreses de perforació han guanyat diners amb els alts preus del petroli i han desenvolupat no...
914274,eliminacion_catalan,caracteres_problematicos: {'•'},• La línia directa només s'ocupa dels informes sobre el contingut a Internet.
1028783,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Durmus explicava en el vídeo publicat el 21 de juny que el propòsit era preparar els nens per al “ma...
1144389,eliminacion_catalan,caracteres_problematicos: {'·'},"O esperar 12 mesos, i l'operador oferirà descomptes per a tots els telèfons intel·ligents."
1225078,eliminacion_catalan,caracteres_problematicos: {'–'},El nostre objectiu era crear una base de codi – un lloc web – capaç d'oferir la millor experiència p...
1299806,eliminacion_catalan,caracteres_problematicos: {'·'},"Fins ara, va dir que la seva administració ha col·locat hectàrees de terra sota la reforma agrària."
1302577,eliminacion_catalan,caracteres_problematicos: {'“'},“Tinc un munt de petites lesions i coses que no es van dir en públic.
1466754,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}","«Mireu aquests ianquis», van dir, «volen fer girar la terra sobre el seu eix."
1550874,eliminacion_catalan,"caracteres_problematicos: {'–', '>'}","Això és el que em va molt bé –> Programo els elements essencials del meu contingut per endavant, és ..."
