linea,catalan,chino
558,"Si no hagués estat per la intervenció de Déu, moltes persones haurien patit un càstig terrible.",要不是天主的干预很多人都会遭遇了可怕的惩罚。
6599,"Malauradament, molts artistes mai no reben aquest primer estímul crític.",不幸的是，许多艺术家从来没有收到这关键的早期的鼓励。
26474,"Per a uns altres, especialment els que estan geogràficament aïllats, podria estar establint un sistema d'ajuda trans.",对其他人来说，尤其是那些地理上孤立的人，它可能正在建立一个跨支持系统。
31524,Tens el control total i absolut de qui et convertiràs i seràs en els propers quatre anys.,你有充分和完整的监控是谁，你将成为并在未来四年。
38031,Vull compartir amb vosaltres cap sobre l'aigua aquesta cançó.,我想和大家分享 Head Above Water 这首歌。
49896,"""Crec, Pare President, que la Societat de l'Obra de l'Esperit Sant sap més que jo sobre això.""",我相信，父亲的总统，圣灵的工作的社会比我知道更多关于这个。”
75657,"Hores més tard, el govern iraquià va demanar a tots els països ""que només s'ocupin d'això en qüestions de petroli i fronteres"".",几个小时后，伊拉克政府呼吁所有国家“在石油和边界问题上只处理它”。
85173,"Les vam poder veure amb la Voyager 2, i així les vam descobrir.",我们能够通过Voyager 2看到它们，这就是我们发现它们的方式。
86553,Fins i tot es podria haver compromès amb alguns enemics del seu germà en un complot per endur-se el noi.,他甚至可能与他兄弟的一些敌人勾结，密谋把这个男孩带走。
92776,"""Si podem aconseguir que liquidin les seves bases a Turquia i Pakistan a canvi, haurem guanyat"".",“如果我们能让他们在土耳其和巴基斯坦交换他们的基地，那我们就赢了。”
93280,La 31a Conferència Internacional de la Creu Roja i la Mitja Lluna Roja serà una oportunitat important.,第31届红十字与红新月国际大会将是一个重要的契机。
116515,Ens centrarem en tres àcids particulars que es troben als nostres cabells.,我们将关注在我们头发中发现的三种特殊的酸。
124544,Aquests articles i anuncis mostren que aquests esquemes són segurs i protegits.,这些文章和广告描述了这些方案是安全和安全的。
134545,"M'agrada agafar les armes abans d'hora, va dir el president.",“我喜欢早点拿枪，”总统说。
139030,T'ha demanat que facis l'obra de Déu.,他声称他做上帝的工作。
143585,"""No, senyor, una festa de teatre va arribar tard.",不，先生，一个剧院党进来迟了。
144561,El cap del poder judicial de l'Iran va dir la setmana passada que no era possible abolir la pena de mort per als delinqüents de drogues.,伊朗司法部门负责人上周表示，不可能废除对毒品犯罪者的死刑。
146507,"Charles: És interessant, perquè només les últimes setmanes, la meva dona ha decidit començar a aprendre a programar.",[笑声及掌声]Charles：这很有趣，因为在过去几个星期，我太太决定开始学习程式设计。
147874,"Pitov parlava alemany en lloc d'espanyol, com sempre ho feien entre ells.",皮托夫讲的是德语而不是西班牙语，就像他们之间经常做的那样。
154897,"Pots explorar cada secció per descobrir les millors maneres d'ajudar el món, utilitzant les teves pròpies eines.",您可以探索每个部分，以找出最好的方式来帮助世界，用自己的工具。
171445,"Utilitzaré les meves pròpies anàlisis per a Kyoto Cabinet i LevelDB, però per a altres projectes, utilitzaré les anàlisis existents.",我将会为Kyoto Cabinet 和 LevelDB使用我自己的分析，但其他项目我会使用现有的分析。
176388,Què et va ajudar a captar els teus primers clients internacionals?,是什么帮助您吸引您的第一批国际客户？
182047,Però això és el que passa amb Doha: hi ha molts projectes.,这就是多哈——在建项目是如此之多。
205974,Micropersuasió: la majoria dels nord-americans senten que els blocaires tenen un paper valuós,MicroPersuasion： 大多数美国人觉得博客发挥宝贵的作用
209303,"Vaig començar a sentir-me ansiós per les coses quotidianes, com anar al supermercat o conduir.",我开始对日常事物感到焦虑，例如去超市或开车。
212019,"Però, com pot un sistema de proves produir instantàniament resultats precisos que mostrin com de neta o bruta pot estar una superfície?",但是，一个测试系统如何能立即产生准确的结果，显示一个表面到底有多干净或多脏呢？
214905,"Tots dos semblen ser de la mateixa cultura, encara que el segon vaixell mostra signes que la seva tecnologia havia avançat encara més.",二者似乎来自相同的文化，但第二艘飞船的种种迹象显示，他们的技术已经变先进了。
249113,El govern o qualsevol altra organització no pot tancar la xarxa Tor fàcilment ja que està sent operada només per voluntaris.,政府或任何其他组织都不能轻易关闭Tor网络，因为它仅由志愿者操作。
251397,"Podrà el fantasma, Franklin, tornar a parlar amb la seva filla?",鬼魂富兰克林还能和他女儿说话吗？
254944,Legisladors de NY: Les víctimes de l'11-S podrien perdre suport financer,下一页： 纽约立法者:9/11受害者可能失去财政支持
256575,"Bàsicament, aquest joc serà interessant per als nens i les nenes trobaran aquí un munt de coses interessants per a si mateixos.",基本上，这场比赛将是有趣的男孩和女孩将在这里找到了很多有趣的事情自己。
264257,"Creuen al país, per la qual cosa creuen en el seu propi èxit i estan disposats a assumir riscos.",他们相信这个国家，所以他们相信自己的成功，并愿意承担风险。
288089,El president i els seus assessors van discernir en silenci japonès cap causa per ordenar al Grup de Bombes 509 que aturés les seves operacions.,总统和他的顾问们在日本的沉默中发现，没有理由命令509核弹集团停止其行动。
304156,El seu objectiu també és protegir els camps petrolífers.,他们的目标也是保护油田。
321809,L'aquiescència del vicepresident Biden a aquesta política hauria de commocionar la consciència de tots els nord-americans.,副总统拜登对这样一种政策的默认应该震撼每个美国人的良知。
336577,"Encara no soc un jugador complet, i vull anar a un entorn on pugui continuar millorant, va dir Otani.",“我还没有一个全面的球员，我想去一个环境能让我继续变得更好，”Otani说。
341546,“Un sistema que integri tots els aspectes de l'atenció sanitària és essential per afrontar els reptes del futur.,“整合医疗保健各个方面的系统对于面对未来挑战至关重要。
343059,"A més, els usuaris han de retirar les monedes com més aviat millor, ja que la plataforma es tancarà el 6 de juliol.",此外，用户需要尽快提取代币，因为平台将在7月6日关闭。
343821,"Aleshores, l'ISP pot tenir 65,534 xarxes.","因此，ISP可以有65,534个网络。"
354758,"En relació amb totes les activitats esmentades anteriorment, tractarem les seves dades personals principalment a través d'eines informàtiques i electròniques;",关于上述所有活动，我们将主要通过IT和电子工具处理您的个人数据；
363045,PER FI VA CONÈIXER el seu primer nazi gran.,最后她遇见了她的第一个年长的纳粹分子。
366588,"Els xinesos continuaran millorant el seu AIP, igual que ho han fet amb tanta altra tecnologia militar.",但中国人将不断改善自己的AIP，就像他们对待其他军事技术那样。
370144,La gràcia de Déu ens fa fills de Déu.,天主圣神使我们变成天主的儿女。
370725,"Tot i els molts beneficis, l'adopció d'un nou idioma comporta els seus propis riscos i desafiaments.",但是，尽管有很多好处，选用一种新语言会带来它自己的风险和挑战。
376531,"Ha fallat moltes vegades; no sé ben bé per què, però no n'hi ha prou.",它失败了很多次；不知道为什么，但这还不够。
377589,Vaig rebre molts correus electrònics demanant-me que creés una nina així.,“我得到了很多的电子邮件，询问我创造这样一个洋娃娃。
383545,"En defensa seva, van afirmar que Facebook no era l'única empresa que recopilava dades.",在辩护中，他们声称Facebook并不是唯一一家收集数据的公司。
386930,La demanda detalla la trobada de cada dona amb Cosby.,这起诉讼详细描述了每个女人与Cosby的相遇。
392757,Avui anunciem que Mavericks està lliure.,在今天，我们宣布Mavericks是免费的。
400435,"Bé, aquella nit teníem el nostre espectacle; però allà avisem no només unes dotze persones; prou per pagar les despeses.",好吧，那天晚上我们展示；但警告不只有12人；只够支付费用。
404335,"La construcció de comunitats és un objectiu central per a Brathwaite, algú que, més que la majoria, és ciutadà del món.",社区建设是布拉思韦特一个中心目标 - 人谁，比大多数，是世界公民。
441167,"Hi ha illes al territori, encara que la major part de la zona està sota l'aigua.",这一领域有5600个岛屿，虽然大部分面积是在水下。
458120,Al març de 2015 es va anunciar que tots els estrangers que viatgin a Egipte per turisme necessitaran visats per avançat a partir del 15 de maig de 2015.,2015年3月，埃及宣布所有前往埃及旅游的外国人需在2015年5月15日之后申请签证。
459084,"Quan tanta gent reflexiva, inclosos els exfiscals, no està d'acord amb la conducta dels fiscals nord-americans en aquests casos, ens hem d'aturar, va escriure.",“当包括前检察官在内的许多有思想的人不同意美国律师在这些案件中的行为时，我们需要停止，”她写道。
461545,"Un altre nen va cridar: ""Potser són les dues coses"".",但另一个孩子喊到，“或许它两者都是。”
465666,SAX no crea objectes per a tot el que hi ha al document d'origen; pots decidir què és important.,SAX 不会为源文件中的每个东西创建对象；您要确定什么是重要的。
467892,"Mentre els Estats Units rebutgen els esforços per denigrar les creences religioses d'uns altres, tots ens hem d'oposar inequívocament a la mena de violència sense sentit que va acabar amb la vida d'aquests servidors públics.",虽然美国拒绝诋毁他人宗教信仰的努力，但我们都必须毫不含糊地反对夺取这些公务员生命的那种无谓的暴力行为。
475503,"Si no, no perden gaire, ja que només l'han fitxat pel que queda de temporada.",如果没有的话，他们不失去太多，因为他们只签下了他本赛季剩余。
