success,model,question_id,iteration,block,raw_response,cleaned_response,expected,session_id,timestamp,exact_match,contains_correct,contains_yes,contains_no,response_length,raw_length,had_think_tags
True,llama3.2:3b,1,4,normal_telegraphic,Sí.,Sí.,sí,q1_mllama3.23b_i4,2025-08-16T12:49:43.790374,False,True,False,False,3,3,False
True,llama3.2:3b,1,1,normal_telegraphic,Sí.,Sí.,sí,q1_mllama3.23b_i1,2025-08-16T12:49:43.839263,False,True,False,False,3,3,False
True,llama3.2:3b,1,3,normal_telegraphic,Sí.,Sí.,sí,q1_mllama3.23b_i3,2025-08-16T12:49:43.889166,False,True,False,False,3,3,False
True,llama3.2:3b,1,0,normal_telegraphic,Sí.,Sí.,sí,q1_mllama3.23b_i0,2025-08-16T12:49:43.937944,False,True,False,False,3,3,False
True,llama3.2:3b,1,2,normal_telegraphic,Sí.,Sí.,sí,q1_mllama3.23b_i2,2025-08-16T12:49:43.987146,False,True,False,False,3,3,False
True,llama3.2:3b,2,0,normal_telegraphic,No.,No.,sí,q2_mllama3.23b_i0,2025-08-16T12:49:46.052294,False,True,False,False,3,3,False
True,llama3.2:3b,2,1,normal_telegraphic,No.,No.,sí,q2_mllama3.23b_i1,2025-08-16T12:49:46.095672,False,True,False,False,3,3,False
True,llama3.2:3b,2,2,normal_telegraphic,No.,No.,sí,q2_mllama3.23b_i2,2025-08-16T12:49:46.136001,False,True,False,False,3,3,False
True,llama3.2:3b,2,3,normal_telegraphic,No.,No.,sí,q2_mllama3.23b_i3,2025-08-16T12:49:46.188515,False,True,False,False,3,3,False
True,llama3.2:3b,2,4,normal_telegraphic,No.,No.,sí,q2_mllama3.23b_i4,2025-08-16T12:49:46.233730,False,True,False,False,3,3,False
True,llama3.2:3b,3,0,normal_telegraphic,No.,No.,no,q3_mllama3.23b_i0,2025-08-16T12:49:48.284808,False,True,False,False,3,3,False
True,llama3.2:3b,3,1,normal_telegraphic,No.,No.,no,q3_mllama3.23b_i1,2025-08-16T12:49:48.339261,False,True,False,False,3,3,False
True,llama3.2:3b,3,2,normal_telegraphic,No.,No.,no,q3_mllama3.23b_i2,2025-08-16T12:49:48.381115,False,True,False,False,3,3,False
True,llama3.2:3b,3,3,normal_telegraphic,No.,No.,no,q3_mllama3.23b_i3,2025-08-16T12:49:48.431144,False,True,False,False,3,3,False
True,llama3.2:3b,3,4,normal_telegraphic,No.,No.,no,q3_mllama3.23b_i4,2025-08-16T12:49:48.471203,False,True,False,False,3,3,False
True,llama3.2:3b,4,0,normal_telegraphic,No.,No.,sí,q4_mllama3.23b_i0,2025-08-16T12:49:50.637407,False,True,False,False,3,3,False
