linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
68386,eliminacion_catalan,caracteres_problematicos: {'%'},"No és com el programari, on una empresa pot literalment posseir un mercat; cap empresa de disseny we...",,,,,
117569,eliminacion_catalan,caracteres_problematicos: {'‘'},Aquesta és la meva història: Jo era un nen ‘per què'.,,,,,
239307,eliminacion_catalan,caracteres_problematicos: {'“'},“Convertir-se en coach significa estrès.,,,,,
279984,eliminacion_catalan,caracteres_problematicos: {'%'},"Molts CMO, especialment els CMO em diuen que al voltant del 80% del seu treball és només parlar amb ...",,,,,
311673,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Tots els llibres “tradicionals” que estic llegint actualment estan en un sol lloc.,,,,,
337111,eliminacion_catalan,"caracteres_problematicos: {'/', '–'}",Una mica de misteri – preguntant-se què hi ha sota aquest vestit / camisa – és sexy.,,,,,
344851,eliminacion_catalan,caracteres_problematicos: {'·'},"Sempre estic tractant de trobar alguna cosa nova a cada rodatge: noves tècniques d'il·luminació, llo...",,,,,
379810,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Com hem vist abans, ningú ha sortit en la programació de dues ciutats [de les quatre grans] en una t...",,,,,
569429,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","La Xina ha passat anys, i grans sumes de diners, tractant de ser una “esponja de la innovació” que a...",,,,,
604937,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","En resposta, es va referir a una broma que havia desxifrat anys abans (el Sr. Johnson és una persona...",,,,,
704139,eliminacion_catalan,caracteres_problematicos: {'%'},Ara som responsables d'aproximadament 65% de tot el trànsit bancari obert al Regne Unit. Això ens va...,,,,,
759696,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}","«Aniré quan em plagui, Quilp, i no abans.».",,,,,
769306,eliminacion_catalan,caracteres_problematicos: {'‘'},"En una crisi tan profunda i global com l'actual, aquesta fase pot trigar molt de temps, perquè les ‘...",,,,,
798227,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",Finalment va dir que l'herba del diable era el seu nom temporal [El seu nom de llet].,,,,,
879290,eliminacion_catalan,caracteres_problematicos: {'·'},Aquest matí ha anunciat que Assistant és ara compatible amb més de dispositius domèstics intel·ligen...,,,,,
898130,eliminacion_catalan,caracteres_problematicos: {'%'},La Fundació BEC va assumir les pèrdues derivades de totes les transaccions i va fer una compensació ...,,,,,
968302,eliminacion_catalan,caracteres_problematicos: {'·'},S'assemblen més a instal·lacions o ambients que a quadres; i semblen molt contemporanis ara.,,,,,
968794,eliminacion_catalan,caracteres_problematicos: {'·'},Aquesta col·laboració públic-privada ha tingut un gran èxit i la renovació de la legislació és fonam...,,,,,
970881,eliminacion_catalan,caracteres_problematicos: {'/'},"Tot i això, la programació de molts dispositius d' E/S sovint està íntimament relacionada amb el seu...",,,,,
1223380,eliminacion_catalan,caracteres_problematicos: {'“'},“Sé de Suïssa.,,,,,
