linea,catalan,chino
34528,L'amor va definir el meu pare.,爱定义了我的父亲。
45408,"A més, la Xina i Rússia han desenvolupat la sèrie de sistemes que ara despleguen perquè els portaavions tenen bones respostes a moltes d'aquestes armes.",此外，中国和俄罗斯已经开发了他们现在部署的一系列系统，因为航空母舰对许多这些武器有很好的答案。
73278,La UE va afegir que també cridem l'atenció sobre el recent informe de l'IPCC sobre energies renovables.,欧盟补充说：“我们也提请注意IPCC最近关于可再生能源的报告。
94829,"Assenyalar la gent i els diners i l'atenció a aquestes dues coses, no a aquestes dues coses.",把人、钱和注意力指向这两件事情，而不是那两件事。
103070,Billy ho va anomenar el seu llenguatge secret.,比利称之为他们的秘密语言。
134290,Van construir els dos un dels primers microscopis.,他们建造了第一个显微镜这两个之一。
139120,"Va intentar durant 5 anys reconquerir-me, preguntant-me si podíem tornar a començar.",他努力了5年才赢回我，问我们能否重新开始。
143360,"Aquest és el meu punt de vista, inclosos alguns comentaris i complements a l'informe de Patrick Bolton.",这是我的观点，包括对PatrickBolton报告的评论和补充。
151501,Peter parla de la confiança i la por a la tecnologia.,彼得正在谈论技术中的信任和恐惧问题。
166935,"No obstant això, React Native té un altre entorn de desenvolupament en què tot el procés és molt més senzill.",但是，ReactNative有另一个开发环境，让整个过程非常简单！
184083,"Ja saps, molts d'aquests llocs que estàs llegint ara ja no són part de Rússia a causa de l'Afganistan.",你知道，由于阿富汗，你现在正在阅读的很多这些地方不再是俄罗斯的一部分。
194027,Torna-li la xocolata a la teva germana!,给你姐姐回她的巧克力！
203826,"Aquests vampirs governen en secret Londres, i fins i tot parts de l'Imperi Britànic de fet.",这些吸血鬼秘密统治著伦敦，实际上甚至还是英帝国的一部分。
216991,"Per example, si voleu simplificar el mecanisme d'autorització, sempre podeu rebre ajuda del marc REST.",例如，如果你想简化授权机制，你可以始终从REST框架获得帮助。
225221,Ara pensem en Josep i vegem què en podem aprendre.,现在让我们来思想约瑟，看我们能从他学到什么。
228658,Per què la desigualtat és un repte econòmic important que enfronta el proper president,为什么不平等是下一任总统面临的重要经济挑战
237119,Sentiràs un xiulet cada 3 minuts.,你会听到哨子每隔3分钟。
245374,"Mentre que si fes un seguiment acurat de totes les seves decisions, la xifra mitjana seria de 227.",如果你仔细地跟踪你所有的决定，的平均数量是227。
251881,"No sé quant de temps estaré aquí a Manchester però, mentre jo sigui aquí, John Stones estarà amb nosaltres.",“我不知道我将在曼彻斯特呆多久，但只要我在这里，约翰·斯通就会和我们在一起。
252801,"Quan preguem segons la voluntat de Déu, Ell respondrà.",如果我们所祈求的，合乎神的旨意，祂一定会答应。
276343,"L'altra cosa amb què estic experimentant en aquest moment és Electo Sex, i tenen uns productes fantàstics en aquesta categoria.",我现在正在尝试的另一件事是ElectoSex他们在这个类别中有一些很棒的产品。
276676,"Com a director general, John va invertir en 15 de les principals empreses de risc d'Europa.",作为总经理，John投资了15家欧洲顶尖的风险公司。
286663,"Si creieu que és un nombre petit, penseu-ho de nou, ja que representa gairebé 11M de llocs web.",如果你认为这是一个很小的数目，再想想，因为它，几乎占11米的网站的。
298479,"Mai més no n'he vist cap d'ells, excepte els polis.","""我再也没有见到他们中的任何一位——除了警察。"
324422,És cert que abans del 1914 els Estats Units sovint s'havien vist pertorbats per esdeveniments en altres continents.,确实，在1914之前，美国经常受到其他大陆事件的干扰。
342146,Els caps i els bruixots semblaven estar molt emocionats.,酋长和巫师们似乎非常兴奋。
346438,"Quan intento escriure un bloc per a tu com a persona separada (o grup de persones), en realitat m'estic fragmentant, i la meva escriptura ho reflecteix.",当我试着为你的博客作为一个单独的人（或一群人），然后我自己实际上分裂，我的写作反映了这一点。
359469,El seu fill bastard Richard sembla haver passat gran part de la seva vida a la cort reial del seu oncle William Rufus.,他的私生子理查德似乎花费了一生中很多时间在他的叔叔威廉·鲁夫斯的皇家宫廷。
410940,El sistema de comerç multilateral ha intentat integrar les qüestions del grup regional en marcs multilaterals per eliminar-ne i limitar-ne els efectes negatius.,多边贸易体制一直力图将区域集团问题纳入多边框架，以消除和制约其消极影响。
412093,Però en altres moments va expressar veritable dolor.,但在其他时候，他表达了真正的痛苦。
435623,"Ella va insistir que, ""Un reexamen de l'enfocament de la comissió a Internet i altres tecnologies emergents està molt endarrerit"".",她说：“对委员会对互联网和其他新兴技术的态度的重新审查已经过了很长时间。”
465179,"Crec que els extraterrestres són realment genials, perquè n'hi ha.",“我认为外星人真的很酷，因为他们的存在形式。
477079,CJ pot reclutar altres membres de la seva banda.,CJ可以招募帮派的其他成员。
491330,"Lectura estesa: Supermodel transgènere Nathan Westling: Convertint-me en mi mateix, vaig passar deu anys",延伸阅读：跨性别超模NathanWestling：成为自己，我花了十年
491886,"No obstant això, encara que està desenvolupant la cinquena generació del sistema de comunicacions mòbils, el país encara no gaudeix de llibertat de comunicació i està presoner del sistema econòmic d'un règim dictatorial.",然而，尽管它正在开发第5代移动通信系统，但该国人民仍然没有享有通信自由，并且是独裁政权经济体系的囚徒。
506021,"Aquest és el major problema de salut mental del món, i és possible que no n'hagueu sentit a parlar",这就是世界上最大的精神健康问题——而你可能都没有听说过
513662,Vaig intentar iniciar un servei de Porsche Connect al PCM.,我尝试在PCM中启动一个PorscheConnect服务。
515053,"En cert sentit, la nostra primera pregària va ser el crit que va acompanyar el nostre primer alè.",在某种意义上，我们的第一次祈祷就是伴随着我们第一次呼吸的哀号。
524743,No hi ha res que aquests quatre germans irlandesos no farien per protegir-se.,对这四个爱尔兰兄弟来说，没什么事情是他们为了保护对方而做不出来的。
526639,Et vaig deixar sol durant deu setmanes; però això et podria fer dubtar que s'acostava?,我离开你独自一人十周；但让你怀疑它来了吗？
527123,"Entre el 2008 i el 2013, el banc no va detectar la mala conducta dels operadors sènior, inclòs el cap global de comerç de divises en efectiu.",根据资料：在2008年至2013年期间，银行未能发现高级交易商的不当行为，包括其全球外汇现金交易主管。
552668,No et sentis gaire orgullós pensant que pots caminar només amb Déu.,不要太骄傲，认为你可以独自与上帝同行。
562288,"Si el govern d'Aquino no va poder fer res amb aquestes illes artificials, què volen que fem?",“如果阿基诺政府无法对这些人工岛屿采取任何行动，他们希望我们做什么？
577754,"Un estudiant pot obtenir una qualificació de ""F"" si no té set o més classes per semestre.",可能一个学生获得的“F”级，如果她每学期不存在七个或更多的类。
584315,"Algunes dones poden, però no és fàcil per a la majoria de les dones.",有些女人可以，但对大多数女人来说并不容易。
591451,També van dir que planegen continuar parlant amb Pichai regularment.,他们还说，他们计划继续“定期”与Pichai交谈。
658481,"En un punt, però, ho tinc clar: si Déu existeix, hi ha d'haver una distinció infinita entre ell i la humanitat.",但有一点我清楚，若上帝存在，他与人之间必有无限的差别。
668893,Cabo Leones II és un altre projecte a gran escala que permet a Senvion continuar la seva expansió a nous mercats i subratlla encara més el seu compromís a llarg termini amb Xile.,CaboLeonesII是另一个大型项目，允许Senvion继续向新市场扩张，并进一步强调其对智利的长期承诺。
670208,"En primer lloc, els nostres fills han d'entendre la fe cristiana.",第一，我们的孩子必须了解基督教信仰。
699715,Estic segur que aquest serà un dia valuós per a tots els nostres hostes.,我相信这对所有嘉宾来说都会是宝贵的一天。
711339,"Quan sorgeix l'escassetat, els reguladors sanitaris, com ara la FDA, de vegades demanen a altres proveïdors que impulsin la producció.",当出现短缺时，FDA等卫生监管机构有时会要求其他供应商提高产量。
724804,Un món on només interactuen els assistents d'IA permetria un intercanvi d'opinions millor?,一个只有AI助手互动的世界是否可以更好地交换意见？
729431,"Fins al 1979, Washington va recolzar fermament aquests programes.",1979年以前，华盛顿一直强烈支持该计划。
740556,"Tot i que gran part de la indústria es va traslladar al Japó, s'ha mantingut com una de les indústries d'entreteniment més grans del món.",[23]虽然行业的大宗海外移居日本，它仍然是世界最大的娱乐产业之一。
741911,A més: aquests incentius també es poden vincular a altres serveis a més de la mineria.,另外：这些激励措施也可能与矿业以外的其他服务相关。
747609,El Pentàgon i alguns legisladors d'alt rang rebutgen aquesta idea.,五角大楼和一些高级立法者拒绝这一想法。
751145,"En aquest context, es considera que una responsabilitat és una raó per canviar.",在这里，责任被认为是改变的一个原因。
760006,La tercera raó per estudiar economia és que us permetrà comprendre millor tant el potencial com els límits de la política econòmica.,学习经济学的第三个原因是，它将使你更好地理解经济政策的潜力与局限性。
762247,"Sortir del joc, veure la veritat, i després triar quedar-se o anar-se'n.",退出游戏，看到真相，然后选择留下或离开。
772585,CO també ha descobert que les experiències de RV han de ser enfocades i de curta durada: El millor és de cinc a 10 minuts.,CO还发现，VR体验需要集中精力和持续时间短：5到10分钟是最好的。
834365,Rei: El Rei rep tres monedes d'or del banc.,King国王：从银行拿取3枚金币。
844077,Estem portant l'emprenedor de tornada a aquest país.,我们将这位企业家带回这个国家。
844545,"Quan tenien el Congrés a l'altre partit, lideraven.",当他们在另一方举行国会时，他们领导了。
846992,"Sis polzades ho faran, potser vuit.",6英寸会这样做，也许八。
865481,"Un ancià va cridar: ""Els soldats són aquí!",一个老人哭了，”士兵们在这里！
868950,"Aquest moment del cas haurà recarregat una mica els AirPods així que només podem dir que el parell del 2016 va durar al voltant de dues hores, no podem ser més precisos.",在这个案例中的那一刻将为AirPods充电一点，所以我们只能说2016年对持续了大约两个小时，我们不能更准确。
879876,"Els drets a la terra i a un habitatge adequat són absolutament bàsics i, no obstant això, en alguns països, les mesures d'austeritat estan erosionant aquests mateixos drets per als més vulnerables.",土地和适足住房权是再基本不过的权利——然而在一些国家，紧缩措施正在侵蚀最弱势群体的这些权利。
892669,"No obstant això, a Finlàndia intentem que la cooperació formi part de la nostra cultura.",但在芬兰，我们尝试去让合作变成文化的一部分。
897254,"L'efecte previst i real d'aquesta política és redistribuir els ingressos als propietaris de patents i drets d'autor, en altres paraules, redistribuir els ingressos a l'alça.",这项政策的预期效果和实际效果是将收入重新分配给专利和版权所有者，换句话说就是将收入向上重新分配。
897856,Una persona també ha de ser conscient de la sensibilitat de la seva pell al sol.,一个人也应该意识到自己的皮肤对太阳的敏感度。
925131,També parlarem una mica d'un sistema de propostes que m'encanta i recomano.,我们还将谈一谈我喜欢和强烈推荐的提案系统。
933672,Els primers humans que coneixem es descobreixen a l'Àfrica.,我们所知最早的人类是在非洲发现的。
955351,"Els dos capítols publicats, i especialment el capítol II, han tingut un gran paper educatiu al Partit Comunista Xinès i entre el poble xinès.",但是这两章，特别是第二章，在中国共产党和中国人民中仍然起了很大的教育作用。
957186,Per això temem que aquesta ordre executiva pugui ajudar més el reclutament de terroristes que millorar la nostra seguretat.,这就是为什么我们担心这项行政命令可能会更多地帮助恐怖分子招募而不是改善我们的安全。
967786,Això es deu en part al fet que alguns d'aquests països defensen la pena de mort per a l'homosexualitat.,这部分是因为其中一些国家主张对同性恋判处死刑。
977669,"No obstant això, com que l'univers no és exactament igual en totes les direccions, sinó només de mitjana a gran escala, les microones tampoc no poden ser exactament iguals en totes les direccions.",然而，由于宇宙并非在每一个方向上，而是在大尺度的平均上相同，所以微波也不可能在每一个方向上完全相同。
991630,Una resposta adequada a la crisi actual haurà de desafiar necessàriament al capitalisme i els seus imperatius.,对当前的危机一种适当的回答，必须是挑战资本主义和它的强制原则。
1003853,El canvi a un sistema telefònic d'empresa simplifica les comunicacions de la petita empresa.,切换到商务电话系统可简化您的小型企业通信。
1004670,Fuzi va dir que estaven investigant el país d'origen i de destinació per exportar-lo.,弗兹说，他们正在调查来源和出口目的地国。
1030961,"Va afegir: ""El pitjor per a mi seria una segona ronda entre Marine Le Pen i Mélenchon, perquè això significaria un gran risc que guanyés"".",他补充说：“对我而言，最糟糕的将是马琳勒庞和梅伦琴之间的第二轮比赛，因为那将意味着她获胜的风险很大。”
1031036,Si no t'ofèn potser intenta entendre que ofèn molta gent.,如果它没有冒犯你可能会试图明白它会冒犯很多人。
1034706,El nivell de comprensió que podem obtenir dels productes actuals per a la salut dels consumidors hauria costat milers de dòlars i una cita com a hospital fa només cinc anys.,我们可以从今天的消费保健品中得到的理解水平将花费数千美元，并在五年前被任命为一家医院。
1078885,"I també significava que calia tenir moltes habilitats, molta gent.",这也意味着你必须拥有很多技能，很多人。
1098600,"Segons l'enquesta, la gran majoria dels fabricants internacionals de teixits de roba no han ampliat completament el mercat a aquestes quatre regions.",据调查，目前绝大多数的国际服装面料生产商还没有将市场充分拓宽到这四个地区。
1112495,Patrick i Lauren Sánchez fa estona que estan separats.,“Patrick和LaurenSanchez已经分开了一段时间。
1121714,L'economia pot ser una aliada de la prosperitat inclusiva.,经济学可以成为包容性繁荣的盟友。
1124130,Sèrie Tstat4 es fabriquen perfectament.,Tstat4系列制造完美。
